date,tournamenttitle,players,playercategory,country,rank,archetype,color,top1,top2,top4,top8,top16,top32
2024-10-12,Championnat de set Ciel Scintillant,21,17 - 32,FR,1st,Sisu on Ice,ruby/sapphire,1,0,0,0,0,0
2024-10-12,Championnat de set Ciel Scintillant,21,17 - 32,FR,2nd,Steelsong,amber/steel,0,1,0,0,0,0
2024-10-12,Championnat de set Ciel Scintillant,21,17 - 32,FR,Top4,Discard,emerald/steel,0,0,1,0,0,0
2024-10-12,Championnat de set Ciel Scintillant,21,17 - 32,FR,Top4,Discard,emerald/ruby,0,0,1,0,0,0
2024-10-12,Championnat de set Ciel Scintillant,21,17 - 32,FR,Top8,Sisu on Ice,ruby/sapphire,0,0,0,1,0,0
2024-10-12,Championnat de set Ciel Scintillant,21,17 - 32,FR,Top8,Sisu on Ice,ruby/sapphire,0,0,0,1,0,0
2024-10-12,Championnat de set Ciel Scintillant,21,17 - 32,FR,Top8,Steelsong,amber/steel,0,0,0,1,0,0
2024-10-12,Tier 1 Games Shimmering Skies Set Championships,27,17 - 32,US,2nd,Discard,emerald/steel,0,1,0,0,0,0
2024-10-12,Tier 1 Games Shimmering Skies Set Championships,27,17 - 32,US,Top4,Discard,emerald/steel,0,0,1,0,0,0
2024-10-12,Tier 1 Games Shimmering Skies Set Championships,27,17 - 32,US,Top4,Sing Together,amber/emerald,0,0,1,0,0,0
2024-10-12,Tier 1 Games Shimmering Skies Set Championships,27,17 - 32,US,Top8,Pawpsicles,ruby/sapphire,0,0,0,1,0,0
2024-10-12,Tier 1 Games Shimmering Skies Set Championships,27,17 - 32,US,Top8,Bounce,amethyst/emerald,0,0,0,1,0,0
2024-10-12,Tier 1 Games Shimmering Skies Set Championships,27,17 - 32,US,Top8,Steelsong,amber/steel,0,0,0,1,0,0
