Event,Team,Round,Table,Pairing,Player,PlayerDeck,OpponentTeam,Opponent,OpponentDeck,Play/Draw
Qualification,InkCrows,7,4,C,Trois,Emerald Sapphire,TeamMyTradingCards,Feilers7,Amethyst Emerald,Play
Qualification,InkCrows,7,4,D,Johny,Amethyst Steel,TeamMyTradingCards,MichiMaus,Amethyst Steel,Draw
Qualification,TeamTintenvorrat,8,4,A,LeXtreme,Amethyst Sapphire,TeamPrepared,polyvulpes,Amber Steel,Play
Qualification,TeamTintenvorrat,8,4,B,Paduaner,Amethyst Sapphire,TeamPrepared,WenrA,Amethyst Steel,Draw
Qualification,TeamTintenvorrat,8,4,C,PusherGene,Amethyst Steel,TeamPrepared,goggelz,Amethyst Sapphire,Play
Qualification,TeamTintenvorrat,8,4,D,BarisF2,Ruby Amethyst,TeamPrepared,PrinzKaos,Amber Emerald,Draw
Qualification,InkCrows,9,4,A,Duy,Amethyst Sapphire,BBB,Shild,Sapphire Steel,Play
Qualification,InkCrows,9,4,B,Johny,Amethyst Steel,BBB,Breezy,Amber Steel,Draw
Qualification,InkCrows,9,4,C,Trois,Emerald Sapphire,BBB,KranfahrerRonny,Amethyst Steel,Play
Qualification,InkCrows,9,4,D,Rafa,Amethyst Sapphire,BBB,Ina_Sts,Amber Steel,Draw
Qualification,7Serpents,10,4,A,Andi1066,Emerald Sapphire,MROsGlimmerGang,DanW15,Amber Emerald,Play
Qualification,7Serpents,10,4,B,InkModeOn,Amethyst Steel,MROsGlimmerGang,ZenTera,Amber Emerald,Draw
Qualification,7Serpents,10,4,C,McLovin,Amber Emerald,MROsGlimmerGang,Maxing,Emerald Sapphire,Play
Qualification,7Serpents,10,4,D,Schlendi,Amethyst Sapphire,MROsGlimmerGang,ruffy,Amethyst Sapphire,Draw
Qualification,PlayingDucks,11,4,A,DerHut,Amethyst Emerald,InkCrows,Duy,Amethyst Sapphire,Draw
Qualification,PlayingDucks,11,4,B,Promisedland,Amethyst Sapphire,InkCrows,Tony,Amethyst Emerald,Play
Qualification,PlayingDucks,11,4,C,Nils,Amethyst Steel,InkCrows,Trois,Emerald Sapphire,Draw
Qualification,PlayingDucks,11,4,D,Haertelus,Amethyst Sapphire,InkCrows,Rafa,Amethyst Sapphire,Play
Qualification,TeamTotaHahn,1,5,A,Royal,Amber Steel,MadHatters,Nik,Amethyst Steel,Play
Qualification,TeamTotaHahn,1,5,B,Carrie,Amethyst Steel,MadHatters,Pyropuschel,Amber Steel,Draw
Qualification,TeamTotaHahn,1,5,C,Granic,Amber Steel,MadHatters,LuckyOswald,Emerald Steel,Play
Qualification,TeamTotaHahn,1,5,D,Hendrik,Amethyst Steel,MadHatters,Lift,Amber Emerald,Draw
Qualification,InkCrows,2,5,A,Duy,Amethyst Sapphire,TeamInkognito,Kilzin,Amber Emerald,Play
Qualification,InkCrows,2,5,B,Tony,Amethyst Emerald,TeamInkognito,xSolutionx,Amethyst Sapphire,Draw
Qualification,InkCrows,2,5,C,Trois,Emerald Sapphire,TeamInkognito,Carrier,Ruby Amethyst,Play
Qualification,InkCrows,2,5,D,Rafa,Amethyst Sapphire,TeamInkognito,Bananza,Amethyst Steel,Draw
Qualification,7Serpents,3,5,A,InkModeOn,Amethyst Steel,UwU,Kardo,Amethyst Sapphire,Play
Qualification,7Serpents,3,5,B,Schlendi,Amethyst Sapphire,UwU,TheBigOne,Emerald Sapphire,Draw
