Event,Date,Location,Meta,EventType,Type,PlayFormat,Melee
Liga 2025-04-10,2025-04-10,Card Club Hockenheim,Set7,Liga,Constructed,BestOfThree,https://melee.gg/Tournament/View/285490
Eastlore 2025,2025-04-12,Messe Leipzig,Set7,Competetive,Constructed,BestOfThree,https://melee.gg/Tournament/View/287557
Online 2025-04-13,2025-04-13,Home,Set7,Casual Online,Constructed,BestOfThree,
Online 2025-04-15,2025-04-15,Home,Set7,Casual Online,Constructed,BestOfThree,
Casual 2025-04-16,2025-04-16,Wizards Well,Set7,Casual,Constructed,BestOfThree,
Liga 2025-04-16,2025-04-16,Wizards Well,Set7,Liga,Constructed,BestOfThree,https://melee.gg/Tournament/View/278789
Online 2025-04-17,2025-04-17,Home,Set7,Casual Online,Constructed,BestOfThree,
Casual 2025-04-17,2025-04-17,Card Club Hockenheim,Set7,Casual,Constructed,BestOfThree,
Liga 2025-04-17,2025-04-17,Card Club Hockenheim,Set7,Liga,Constructed,BestOfThree,https://melee.gg/Tournament/View/289939
Casual 2025-04-23,2025-04-23,Wizards Well,Set7,Casual,Constructed,BestOfThree,
Liga 2025-04-23,2025-04-23,Wizards Well,Set7,Liga,Constructed,BestOfThree,https://melee.gg/Tournament/View/278796
Casual 2025-04-24,2025-04-24,Card Club Hockenheim,Set7,Casual,Constructed,BestOfThree,
Liga 2025-04-24,2025-04-24,Card Club Hockenheim,Set7,Liga,Constructed,BestOfThree,https://melee.gg/Tournament/View/295275
Casual 2025-04-25,2025-04-25,Ravensburg,Set7,Casual,Constructed,BestOfThree,
Ravensburg 2025,2025-04-26,Ravensburg,Set7,Competetive,Constructed,TwoGameFormat,https://melee.gg/Tournament/View/285406
Casual 2025-04-30,2025-04-30,Wizards Well,Set7,Casual,Constructed,BestOfThree,
Liga 2025-04-30,2025-04-30,Wizards Well,Set7,Liga,Constructed,BestOfThree,https://melee.gg/Tournament/View/278800
Casual 2025-05-01,2025-05-01,Home,Set7,Casual,Constructed,BestOfThree,
